title,sinopsis,isbn
State of Fear,"State of Fear is a 2004 techno-thriller novel by Michael Crichton, his fourteenth under his own name and twenty-fourth overall, in which eco-terrorists plot mass murder to publicize the danger of global warming. Despite being a work of fiction, the book contains many graphs and footnotes, two appendices, and a 20-page bibliography in support of Crichton's beliefs about global warming. Many climate scientists, science journalists, environmental groups, and science advocacy organisations dispute Crichton's views on the science as being error-filled and distorted. The novel had an initial print run of 1.5 million copies and reached the #1 bestseller position at Amazon and #2 on The New York Times Best Seller list for one week in January 2005. The novel itself has garnered mixed reviews, with some literary reviewers stating that the book's presentation of facts and stance on the global warming debate detracted from the book's plot.",0061015733
"The Boxcar Children (The Boxcar Children, #1)",,0807508527
"Wallbanger (Cocktail, #1)",,1623420024
Her Fearful Symmetry,"At last: another brilliant, original and moving novel from the author of THE TIME TRAVELER'S WIFE. Julia and Valentina Poole are normal American teenagers — normal, at least, for identical 'mirror' twins who have no interest in college or jobs or possibly anything outside their cozy suburban home. But everything changes when they receive notice that an aunt whom they didn't know existed has died and left them her flat in an apartment block overlooking Highgate Cemetery in London. They feel that at last their own lives can begin . . . but have no idea that they've been summoned into a tangle of fraying lives, from the obsessive-compulsive crossword setter who lives above them to their aunt's mysterious and elusive lover who lives below them, and even to their aunt herself, who never got over her estrangement from the twins' mother — and who can't even seem to quite leave her flat . . . With Highgate Cemetery itself a character and echoes of Henry James and Charles Dickens, HER FEARFUL SYMMETRY is a delicious and deadly twenty-first-century ghost story about Niffenegger's familiar themes of love, loss and identity. It is certain to cement her standing as one of the most singular and remarkable novelists of our time.",0224085611
"Shopaholic Takes Manhattan (Shopaholic, #2)",,0440241812
The Gift of the Magi,,141693586X
Native Son,"Native Son (1940) is a novel written by the American author Richard Wright. It tells the story of 20-year-old Bigger Thomas, a black youth living in utter poverty in a poor area on Chicago's South Side in the 1930s. ---------- Also contained in: [Early Works](https://openlibrary.org/works/OL506449W)",006083756X
The Running Man,"The Running Man is a dystopian thriller novel by American writer Stephen King, first published under the pseudonym Richard Bachman in 1982 as a paperback original. It was collected in 1985 in the omnibus The Bachman Books. The novel is set in a dystopian United States during the year 2025, in which the nation's economy is in ruins and world violence is rising. The story follows protagonist Ben Richards as he participates in the reality show The Running Man in which contestants, allowed to go anywhere in the world, are chased by the general public, who get a huge bounty if they kill him. The book has a total of 101 chapters, laid out in a ""countdown"" format. The first is titled ""Minus 100 and Counting ..."" with the numbers decreasing, ending with the last chapter called ""Minus 000 and Counting"" (or, in some versions, simply ""000""). ---------- Also contained in: - [The Bachman Books][2] - [The Bachman Books](https://openlibrary.org/works/OL24796729W) [1]: https://stephenking.com/library/bachman_novel/running_man_the.html [2]: https://openlibrary.org/works/OL81591W/The_Bachman_Books_(Rage_The_Long_Walk_Roadwork_The_Running_Man)",0451197968
"Going Postal (Discworld, #33; Moist von Lipwig, #1)",,0060502932
Along for the Ride,"It’s been so long since Auden slept at night. Ever since her parents’ divorce—or since the fighting started. Now she has the chance to spend a carefree summer with her dad and his new family in the charming beach town where they live.A job in a clothes boutique introduces Auden to the world of girls: their talk, their friendship, their crushes. She missed out on all that, too busy being the perfect daughter to her demanding mother. Then she meets Eli, an intriguing loner and a fellow insomniac who becomes her guide to the nocturnal world of the town. Together they embark on parallel quests: for Auden, to experience the carefree teenage life she’s been denied; for Eli, to come to terms with the guilt he feels for the death of a friend.In her signature pitch-perfect style, Sarah Dessen explores the hearts of two lonely people learning to connect.",0670011940
"Linger (The Wolves of Mercy Falls, #2)",,0545123283
The Snow Child,"November, 1920. Jack and Mabel have staked everything on making a fresh start in a homestead 'at the world's edge' in the Alaskan wilderness. But as the days grow shorter, Jack is losing his battle to clear the land, and Mabel can no longer contain her grief for the baby she lost years before. The evening the first snow falls, their mood unaccountably changes. In a moment of tenderness, the two build a snowman - or rather a snow girl - together. Next morning, all trace of her has disappeared ... yet there, in dawn's light, running through the spruce trees - Jack can't shake the notion that he glimpsed - a child? And how to explain the little but very human tracks Mabel finds at the edge of their property?",0316175676
"Redwall (Redwall, #1)","The Tribes of Redwall series takes an exciting new look at the wealth of clans-the badgers, the moles, the shrews-that make up the legendary life of Brian Jacques' best-selling series. In this first guide, readers can learn about and celebrate the hidden world of the badger Lords and the badger warrior spirit. In the tradition of *Redwall Map and Riddler* and *Redwall Friend and Foe*, the packet features a detailed 16-page booklet, complete with a wealth of information on badgers, several puzzles, and a quiz to test the knowledge of Redwall fans old and new. Also included is a stunning full-color pullout poster illustrating the badger heroes and heroines profiled in the booklet. Complete with an introduction by Brian Jacques himself, *Tribes of Redwall* is a must for any Redwall enthusiast!",1862301387
A Connecticut Yankee in King Arthur's Court,"A blow on the head transports a Yankee to 528 A.D. where he proceeds to modernize King Arthur's kingdom by organizing a school system, constructing telephone lines, and inventing the printing press.",1416534733
"Darkfever (Fever, #1)",,0385339151
The Girls,"Northern California, during the violent end of the 1960s. At the start of summer, a lonely and thoughtful teenager, Evie Boyd, sees a group of girls in the park, and is immediately caught by their freedom, their careless dress, their dangerous aura of abandon. Soon, Evie is in thrall to Suzanne, a mesmerizing older girl, and is drawn into the circle of a soon-to-be infamous cult and the man who is its charismatic leader. Hidden in the hills, their sprawling ranch is eerie and run down, but to Evie, it is exotic, thrilling, charged—a place where she feels desperate to be accepted. As she spends more time away from her mother and the rhythms of her daily life, and as her obsession with Suzanne intensifies, Evie does not realize she is coming closer and closer to unthinkable violence, and to that moment in a girl’s life when everything can go horribly wrong.",081299860X
The Last Juror,"In 1970, one of Mississippi s more colorful weekly newspapers, The Ford County Times, went bankrupt. To the surprise and dismay of many, ownership was assumed by a 23-year-old college dropout, named Willie Traynor. The future of the paper looked grim until a young mother was brutally raped and murdered by a member of the notorious Padgitt family. Willie Traynor reported all the gruesome details, and his newspaper began to prosper. The murderer, Danny Padgitt, was tried before a packed courthouse in Clanton, Mississippi. The trial came to a startling and dramatic end when the defendant threatened revenge against the jurors if they convicted him. Nevertheless, they found him guilty, and he was sentenced to life in prison. But in Mississippi in 1970, life didn't necessarily mean life, and nine years later Danny Padgitt managed to get himself paroled. He returned to Ford County, and the retribution began.",0385339682
One Day in the Life of Ivan Denisovich,,0374529523
The House on Mango Street,"NATIONAL BESTSELLER • A coming-of-age classic, acclaimed by critics, beloved by readers of all ages, taught in schools and universities alike, and translated around the world—from the winner of the 2019 PEN/Nabokov Award for Achievement in International Literature. The House on Mango Street is the remarkable story of Esperanza Cordero, a young Latina girl growing up in Chicago, inventing for herself who and what she will become. Told in a series of vignettes-sometimes heartbreaking, sometimes deeply joyous-Sandra Cisneros' masterpiece is a classic story of childhood and self-discovery. Few other books in our time have touched so many readers.",0679734775
"Small Favor (The Dresden Files, #10)",,0451461894
"Crossroads of Twilight (Wheel of Time, #10)",,0312864590
The Color of Water: A Black Man's Tribute to His White Mother,,1573225789
"The Austere Academy (A Series of Unfortunate Events, #5)",,0064408639
"Messenger (The Giver, #3)","Second installment to Youth classic, ""The Giver."" Required in numerous 8th/9th grade English classrooms. Introducing the idea of a utopian society to youth for the 1st time. The well known Trilogy also includes a third book, Gathering Blue. Only recently for the 20th Anniversary of ""The Giver"" author, Lois Lowry has written a 4th book called, ""The Son"" now available as of Oct 2012. Which makes the series a fourquet and answers the many hanging questions left by the ""The Giver"" Reading the two, middle books is not entirely necessary as the ""The son"" is more a sequel to the 1st book, ""The Giver.""",0385732538
The Twits,,0141318309
Lucky,"In this memoir, Alice Sebold reveals how her life was transformed when at age 18 she was raped and beaten in a park near her college campus",033041836X
Shantaram,"Un prófugo de una prisión de alta seguridad en Australia y llega a Bombay dejando tras de sí toda su vida anterior: una ex - esposa y una hija de la cual ha perdido su custodia. Su nombre es Lin, pero pronto será conocido como Shantaram, el hombre de la paz de Dios. En Bombay conoce a Prabaker, su guía hindú, poseedor de una eterna sonrisa que le hace ganarse a todo el mundo. Prabaker le enseña a hablar hindú y marathi y lo sumerge en el Bombay turística y en el desconocido Bombay de los bajos fondos. Durantes este viaje conocerá a la hermosa y peligrosa, Karla, que ocultará un oscuro pasado y de la que, cómo no puede ser de otra manera, se enamorará perdidamente. La novela combina el relato épico con pasajes de gran belleza, humor y sensibilidad a la vez que conmueve la mente y el corazón e induce a la reflexión. Es por otra parte, un gran homenaje literario a Bombay.",192076920X
"The Girl in the Spider''s Web (Millennium, #4)",,0385354282
My Brilliant Friend (The Neapolitan Novels #1),,1609450787
The Kitchen God's Wife,"Winnie and Helen have kept each other's worst secrets for more than fifty years. Now, because she believes she is dying, Helen wants to expose everything. And Winnie angrily determines that she must be the one to tell her daughter, Pearl, about the past--including the terrible truth even Helen does not know. And so begins Winnie's story of her life on a small island outside Shanghai in the 1920s, and other places in China during World War II, and traces the happy and desperate events that led to Winnie's coming to America in 1949.",0143038109
"Mary Poppins (Mary Poppins, #1)",,0152058109
City of Thieves,"From the critically acclaimed author of The 25th Hour, a captivating novel about war, courage, survival — and a remarkable friendship that ripples across a lifetime. During the Nazis’ brutal siege of Leningrad, Lev Beniov is arrested for looting and thrown into the same cell as a handsome deserter named Kolya. Instead of being executed, Lev and Kolya are given a shot at saving their own lives by complying with an outrageous directive: secure a dozen eggs for a powerful Soviet colonel to use in his daughter’s wedding cake. In a city cut off from all supplies and suffering unbelievable deprivation, Lev and Kolya embark on a hunt through the dire lawlessness of Leningrad and behind enemy lines to find the impossible. By turns insightful and funny, thrilling and terrifying, City of Thieves is a gripping, cinematic World War II adventure and an intimate coming-of-age story with an utterly contemporary feel for how boys become men.",0670018708
The Shell Seekers,"The Shell Seekers is a novel of connection: of one family, and of the passions and heartbreak that have held them together for three generations. The Shell Seekers is filled with real people--mothers and daughters, husband and lovers--inspired with real values. The Shell Seekers centers on Penelope Keeling--a woman you'll always remember in world you'll never forget. The Shell Seekers is a magical novel, the kind of reading experience that comes along only once in a long while. At the end of a long and useful life, Penelope Keeling's prized possession is The Shell Seekers, painted by her father, and symbolizing her unconventional life, from bohemian childhood to wartime romance. When her grown children learn their grandfather's work is now worth a fortune, each has an idea as to what Penelope should do. But as she recalls the passions, tragedies, and secrets of her life, she knows there is only one answer...and it lies in her heart.",051722285X
"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)",,0446612731
Change of Heart,"A spellbinding tale of a mother's tragic loss and a criminal's last chance at finding salvation from the bestselling author of Nineteen Minutes.One day June Nealon was happily anticipating a lifetime of laughter and adventure with her family, and the next, she was staring into a future that was as empty as her heart. Now her life is a waiting game. Waiting for time to heal her wounds, waiting for justice. Waiting for a miracle to happen.For Shay Bourne, life holds no more surprises. The world has given him nothing, and he has nothing to offer the world. In a heartbeat, though, something happens one day that changes everything for him. Now he has one last chance for salvation, and it lies with June's twelve-year-old daughter, Claire. But between Shay and Claire stretches an ocean of bitter regrets, past crimes and the rage of a mother who has lost her child.Would you give up your vengeance against someone you hate, if it meant saving someone you love? Would you want your dreams to come true, if it meant granting your enemy's dying wish?Once again, Jodi Picoult mesmerises and enthralls readers with a story of justice, love and redemption.",0743496744
Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,,0446359408
Absolute Power,"In a heavily guarded mansion in a posh Virginia suburb, a man and a woman are about to embark on a night of passion, trapping an unsuspecting burglar behind a secret wall. Then the lovemaking turns deadly, and the witness is running into the night. Because what he has just seen is a brutal slaying involving the president of the United States. Luther Whitney is the career break-in artist who’s in the wrong place at the wrong time. Alan Richmond is the charming U.S. president with the power to commit any crime. And Jack Graham is the young attorney caught in a vortex between absolute truth and…Absolute Power.",0330419641
Rosemary's Baby,Contains: - [Rosemary's Baby](https://openlibrary.org/works/OL28322W/Rosemary's_Baby) - [Stepford Wives](https://openlibrary.org/works/OL28319W/The_Stepford_Wives) - This Perfect Day,0451194004
A Reliable Wife,"Rural Wisconsin, 1909. In the bitter cold, Ralph Truitt, a successful businessman, stands alone on a train platform waiting for the woman who answered his newspaper advertisement for ""a reliable wife."" But when Catherine Land steps off the train from Chicago, she's not the ""simple, honest woman"" that Ralph is expecting. She is both complex and devious, haunted by a terrible past and motivated by greed. Her plan is simple: she will win this man's devotion, and then, ever so slowly, she will poison him and leave Wisconsin a wealthy widow. What she has not counted on, though, is that Truitt — a passionate man with his own dark secrets —has plans of his own for his new wife. Isolated on a remote estate and imprisoned by relentless snow, the story of Ralph and Catherine unfolds in unimaginable ways.With echoes of Wuthering Heights and Rebecca, Robert Goolrick's intoxicating debut novel delivers a classic tale of suspenseful seduction, set in a world that seems to have gone temporarily off its axis.",1565125967
Leaves of Grass,"**Leaves of Grass** is a poetry collection by American poet Walt Whitman. First published in 1855, Whitman spent most of his professional life writing and rewriting *Leaves of Grass*, revising it multiple times until his death. There have been held to be either six or nine individual editions of Leaves of Grass, the count varying depending on how they are distinguished.[2] This resulted in vastly different editions over four decades—the first edition being a small book of twelve poems, and the last, a compilation of over 400. (Source: [Wikipedia](https://en.wikipedia.org/wiki/Leaves_of_Grass))",1416523715
Batman: The Killing Joke,,0930289455
"The Knife of Never Letting Go (Chaos Walking, #1)",,1406310255
"Queen of Shadows (Throne of Glass, #4)",,1619636042
The Night Before Christmas,,0399231900
"Eleven on Top (Stephanie Plum, #11)",,0312985347
"The Year of the Flood  (MaddAddam, #2)",,0385528779
"Champion (Legend, #3)",,0399256776
Invisible Monsters,"Shannon McFarland, splendida top model, dalla vita ha avuto tutto quello che si può desiderare: l'amore, la carriera, un'amicizia sincera. La sua esistenza viene però sconvolta quando, mentre sta guidando la sua auto, una misteriosa fucilata la raggiunge al volto, lasciandola orrendamente sfigurata e incapace di parlare. E da affascinante centro di attrazione Shannon si ritrova a essere un mostro invisibile, evitato da tutti, tradita dal fidanzato Manus e dall'amica del cuore, Evie. Ma tutto cambia quando in ospedale Shannon fa conoscenza con la Principessa Brandy Alexander, cui manca ancora solo un intervento chirurgico per diventare una vera donna. Brandy non solo la trascinerà in un viaggio delirante con il proposito di aiutarla a vendicarsi di Evie e di Manus, ma soprattutto le spiegherà come reinventare se stessa. E le insegnerà che niente e nessuno è mai quello che sembra a prima vista...",0099285444
"The Ersatz Elevator (A Series of Unfortunate Events, #6)",,0060566213
Drowning Ruth,"Worn out from nursing soldiers at a Milwaukee hospital and struggling to recover from a traumatic love affair, Amanda Starkey returns to her family's rural Wisconsin farm to stay with her beloved sister, Mattie, and young niece, Ruth.",0345439104
"The Walking Dead, Vol. 01: Days Gone Bye",,1582406723
Hawaii,,0375760377
For One More Day,"In an inspirational debut novel by the author of Tuesdays with Morrie, Charles ""Chick"" Benetto, grieving over the death of his mother, uses alcohol as a crutch to deal with his loneliness, isolation, and depression and the disintegration of his life, until an encounter with his mother's ghost brings him new awareness and leads him to attempt to put his life back together.",1401303277
"Winter (The Lunar Chronicles, #4)",,0312642989
"The Celestine Prophecy (Celestine Prophecy, #1)",,0446671002
Ivanhoe,"The father of the historical novel, Sir Walter Scott invented a literary form that has remained popular for over one hundred and fifty years. Infusing his works with romance, action, and suspense, he brought long-gone eras back to life with splendor and spectacle.Set in England just after the Third Crusade, Ivanhoe is the tale of Wilfrid, a young Saxon knight, and his love for the royal princess Rowena. With his father against their union, Wilfrid embarks on a series of adventures to prove his worth, finding himself in conflict against the Normans and the Templars, and allied with such larger-than-life figures as Robin Hood and Richard the Lion Hearted. A timeless story of courage, chivalry, and courtly love, Ivanhoe is a grand epic, and its place in classical literature is assured.",0140436588
The Amityville Horror,"The Amityville Horror is a book by American author Jay Anson, published in September 1977. It is also the basis of a series of films released from 1979 onward. The book is claimed to be based on the paranormal experiences of the Lutz family, but has led to controversy and lawsuits over its truthfulness. ---------- Also contained in: - [Sarah Bernhardt And Her World / My Mother/My Self / Snow / The Amityville Horror / The Guggenheims][1]",0553116606
The Lowland,"Brothers Subhash and Udayan Mitra pursue vastly different lives--Udayan in rebellion-torn Calcutta, Subhash in a quiet corner of America--until a shattering tragedy compels Subhash to return to India, where he endeavors to heal family wounds.",0307265749
"The House at Pooh Corner (Winnie-the-Pooh, #2)",,0525444440
I Am the Messenger,"After capturing a bank robber, nineteen-year-old cab driver Ed Kennedy begins receiving mysterious messages that direct him to addresses where people need help, and he begins getting over his lifelong feeling of worthlessness.",0375836675
"Ringworld (Ringworld, #1)",,0575077026
"Extras (Uglies, #4)",,1416951172
Make Way for Ducklings,"First published in 1941, the book tells the story of a pair of mallard ducks who decide to raise their family on an island in the lagoon in Boston Public Garden, a park in the center of Boston, Massachusetts. [1][1] [1]: http://en.wikipedia.org/wiki/Make_Way_for_Ducklings",0670035386
The Orphan Master's Son,"The Orphan Master's Son is a 2012 novel by American author Adam Johnson. It deals with intertwined themes of propaganda, identity, and state power in North Korea. The novel was awarded the 2013 Pulitzer Prize for Fiction.",0812992792
"Deadlocked (Sookie Stackhouse, #12)","""It's vampire politics as usual around the town of Bon Temps, but never before have they hit so close to Sookie's heart.... Growing up with telepathic abilities, Sookie Stackhouse realized early on that there are things she'd rather not know. And now that she's an adult, she also realizes that some things she knows about, she'd rather not see--like Eric Northman feeding off another woman. A younger one. There's a thing or two she'd like to say about that, but she has to keep quiet--Felipe de Castro, the vampire King of Louisiana (and Arkansas and Nevada), is in town. It's the worst possible time for a human body to show up in Eric's front yard--especially the body of the woman whose blood he just drank. Now it's up to Sookie and Bill, the official Area Five investigator, to solve the murder. Sookie thinks that, at least this time, the dead girl's fate has nothing to do with her. But she is wrong. She has an enemy, one far more devious than she would ever suspect, who's set out to make Sookie's world come crashing down""--",0575096578
Baby Proof,"Is there ever a deal-breaker when it comes to true love? What happens to the perfect couple when they suddenly want different things? First comes love, then comes marriage, then comes--a baby carriage. Isn't that what all women want? Not so for Claudia Parr. And just as she gives up on finding a man who feels the same way, she meets warm, wonderful Ben. Things seem too good to be true when they fall in love and agree to buck tradition with a satisfying, child-free marriage. Then the unexpected occurs: one of them has a change of heart. One of them wants children after all.--From publisher description.",0312348649
Survivor,"Tender Branson, the last surviving member of the Creedish death cult, has commandeered a Boeing 747, emptied of passengers, in order to tell his story to the plane’s black box before it crashes. Brought up by the repressive cult and, like all Creedish younger sons, hired out as a domestic servant, Tender finds himself suddenly famous when his fellow cult members all commit suicide. As media messiah, he ascends to the very top of the freak-show heap before finally and apocalyptically spiralling out of control.",009928264X
Amelia Bedelia  (Amelia Bedelia #1),,0064441555
The Girl You Left Behind,"In 1916, French artist Edouard Lefevre leaves his wife Sophie to fight at the Front. When her town falls into German hands, his portrait of Sophie stirs the heart of the local Kommandant and causes her to risk everything - her family, reputation and life - in the hope of seeing her true love one last time. Nearly a century later and Sophie's portrait is given to Liv by her young husband shortly before his sudden death. Its beauty speaks of their short life together, but when the painting's dark and passion-torn history is revealed, Liv discovers that the first spark of love she has felt since she lost him is threatened... In The Girl You Left Behind two young women, separated by a century, are united in their determination to fight for the thing they love most - whatever the cost.",0670026611
Handle with Care,"In Jodi Picoult's #1 international bestseller she explores the moral dilemmas faced by the parents of a severely disabled child. When faced with the reality of a child who will be disabled, at which point should an obstetrician counsel termination? Should a parent have the right to make that choice? And as a parent, how far would you go to take care of someone you love?Willow O'Keefe is born with osteogenesis imperfecta, or brittle bone disease, which means she will suffer hundreds of broken bones as she grows, and a lifetime of pain. As the family struggles to cover medical expenses, her mother Charlotte decides to file a wrongful birth lawsuit against her obstetrician for the compensation which might ensure a lifetime of care for Willow.But it means that Charlotte has to say in a court of law that she would have terminated the pregnancy if she'd known about the disability in advance. And the obstetrician she's suing isn't just her physician - she's her best friend.Handle with Care is an absorbing narrative which also questions the basis of medical ethics and of personal morality. What rights do parents or doctors have to terminate a life? How disabled is too disabled? As a parent, how far would you go to save someone you love?",0743296419
Corelli's Mandolin,"De dochter van een Griekse dokter wordt tijdens de Tweede Wereldoorlog gescheiden van haar geliefde, een kapitein in het Italiaanse leger.",067976397X
Brain on Fire: My Month of Madness,,145162137X
The Birth of Venus,,0812968972
Disclosure,"Disclosure is a novel by Michael Crichton, his ninth under his own name and nineteenth overall, and published in 1994. The novel is set at a fictional computer hardware manufacturing company. The plot concerns protagonist Tom Sanders and his struggle to prove that he was sexually harassed by his female employer. ---------- Also contained in: - [Reader's Digest Condensed Books: Volume 5, 1994 ](https://openlibrary.org/works/OL15150330W/Reader's_Digest_Condensed_Books) - [Two Complete Novels: Disclosure/Rising Sun][2] [1]: http://www.michaelcrichton.com/disclosure/ [2]: https://openlibrary.org/works/OL14950533W/Disclosure_Rising_Sun",0099303744
"The Happiness Project: Or Why I Spent a Year Trying to Sing in the Morning, Clean My Closets, Fight Right, Read Aristotle, and Generally Have More Fun",,0061583251
"Fablehaven (Fablehaven, #1)",,1590385810
"A Dirty Job (Grim Reaper, #1)",,0060590270
Vanishing Acts,"Picoult's richly layered and suspenseful novel explores the power of love and memory . . . what happens when the past we have been running from catches up to us.'The compelling story weaves characters and plot so richly that it's impossible to take sides in the questions of what was justified and what wasn't.' - Woman's Day'A polished and riveting read.' - Australian Women's WeeklyDelia Hopkins has led a charmed life. Raised in rural New Hampshire by her widowed father Andrew, she now has a young daughter, a handsome fiance, and her own Search and Rescue bloodhound which she uses to find missing persons. But as she plans her wedding, she is plagued by flashbacks of a life she can't recall. What are these memories and what do they mean? In shock and confusion, Delia must search out the truth among these newly discovered recollections even when they threaten to devastate her life, and the lives of those she loves most.With consummate skill and sensitivity, Jodi Picoult examines what happens when the past we have been running from catches up to us, and questions who we trust to tell us the story of our lives before we are capable of remembering it ourselves. Vanishing Acts is an impressive exploration of the very nature and power of memory.",0743454553
Between the World and Me,"Between the World and Me is a 2015 nonfiction book written by American author Ta-Nehisi Coates and published by Spiegel & Grau. It is written as a letter to the author's teenage son about the feelings, symbolism, and realities associated with being Black in the United States. Coates recapitulates American history and explains to his son the ""racist violence that has been woven into American culture."" Coates draws from an abridged, autobiographical account of his youth in Baltimore, detailing the ways in which institutions like the school, the police, and even ""the streets"" discipline, endanger, and threaten to disembody black men and women. The work takes structural and thematic inspiration from James Baldwin's 1963 epistolary book The Fire Next Time. Unlike Baldwin, Coates sees white supremacy as an indestructible force, one that Black Americans will never evade or erase, but will always struggle against. The novelist Toni Morrison wrote that Coates filled an intellectual gap in succession to James Baldwin. Editors of The New York Times and The New Yorker described the book as exceptional. The book won the 2015 National Book Award for Nonfiction and was a finalist for the 2016 Pulitzer Prize for General Non-Fiction.",0812993543
"Golden Son (Red Rising, #2)",,0345539826
"I''d Tell You I Love You, But Then I''d Have to Kill You (Gallagher Girls, #1)","Cammie Morgan is a student at the Gallagher Academy for Exceptional Young Women, a fairly typical all-girls school-that is, if every school taught advanced martial arts in PE and the latest in chemical warfare in science, and students received extra credit for breaking CIA codes in computer class. The Gallagher Academy might claim to be a school for geniuses but it's really a school for spies. Even though Cammie is fluent in fourteen languages and capable of killing a man in seven different ways, she has no idea what to do when she meets an ordinary boy who thinks she's an ordinary girl. Sure, she can tap his phone, hack into his computer, or track him through town with the skill of a real ""pavement artist""-but can she maneuver a relationship with someone who can never know the truth about her? Cammie Morgan may be an elite spy-in-training, but in her sophomore year, she's on her most dangerous mission-falling in love",1423100034
Why Not Me?,"Hollywood starlet Mindy Kaling shares her ongoing, laugh-out-loud journey to find contentment and excitement in her adult life.",0804138141
"The Last Unicorn (The Last Unicorn, #1)",,0451450523
"The Tale of the Body Thief (The Vampire Chronicles, #4)",,0345419634
"Beezus and Ramona (Ramona, #1)",,0192750968
Steppenwolf,,0140282580
Love the One You're With,"A chance encounter forces one woman to question her decisions, her marriage, and herself.",0312348673
"Shopaholic Ties the Knot (Shopaholic, #3)",,0440241898
Unaccustomed Earth,"These eight stories by beloved and bestselling author Jhumpa Lahiri take us from Cambridge and Seattle to India and Thailand, as they explore the secrets at the heart of family life. Here they enter the worlds of sisters and brothers, fathers and mothers, daughters and sons, friends and lovers. Rich with the signature gifts that have established Jhumpa Lahiri as one of our most essential writers, Unaccustomed Earth exquisitely renders the most intricate workings of the heart and mind.From the Trade Paperback edition.",0676979343
Batman: Year One,,1401207529
Still Life with Woodpecker,"- List item Still Life with Woodpecker is a sort of a love story that takes place inside a pack of Camel cigarettes. It reveals the purpose of the moon, explains the difference between criminals and outlaws, examines the conflict between social activism and romantic individualism, and paints a portrait of contemporary society that includes powerful Arabs, exiled royalty, and pregnant cheerleaders. It also deals with the problem of redheads.From the Trade Paperback edition.",184243022X
"Onyx (Lux, #2)",,1620610116
The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror,,0141439734
A Canticle for Leibowitz,"Highly unusual After the Holocaust novel. In the far future, 20th century texts are preserved in a monastery, as ""sacred books"". The monks preserve for centuries what little science there is, and have saved the science texts and blueprints from destruction many times, also making beautifully illuminated copies. As the story opens to a world run on a basically fuedal lines, science is again becoming fashionable, as a hobby of rich men, at perhaps 18th or early 19th century level of comprehesion. A local lord, interested in science, comes to the monastery. What happens after that is an exquisitely told tale, stunning and extremely moving, totally different from any other After the Holocaust story",0060892994
Doctor Zhivago,,0679774386
"Every Day (Every Day, #1)",,0307931889
"Changes (The Dresden Files, #12)",,045146317X
The Bone Clocks,"Following a scalding row with her mother, fifteen-year-old Holly Sykes slams the door on her old life. But Holly is no typical teenage runaway: a sensitive child once contacted by voices she knew only as ""the radio people,"" Holly is a lightning rod for psychic phenomena. Now, as she wanders deeper into the English countryside, visions and coincidences reorder her reality until they assume the aura of a nightmare brought to life. For Holly has caught the attention of a cabal of dangerous mystics -- and their enemies. But her lost weekend is merely the prelude to a shocking disappearance that leaves her family irrevocably scarred. This unsolved mystery will echo through every decade of Holly's life, affecting all the people Holly loves -- even the ones who are not yet born. A Cambridge scholarship boy grooming himself for wealth and influence, a conflicted father who feels alive only while reporting from occupied Iraq, a middle-aged writer mourning his exile from the bestseller list -- all have a part to play in this surreal, invisible war on the margins of our world. From the medieval Swiss Alps to the nineteenth-century Australian bush, from a hotel in Shanghai to a Manhattan townhouse in the near future, their stories come together in moments of everyday grace and extraordinary wonder.",1400065674
I Am America (And So Can You!),,0446580503
"Beastly (Beastly, #1; Kendra Chronicles, #1)",,0060874163
Pygmalion,"Pygmalion is a play by George Bernard Shaw, named after a Greek mythological figure. It was first presented on stage to the public in 1913. ---------- Also contained in: - [Collected Plays with their Prefaces: Volume IV](https://openlibrary.org/works/OL24714049W) - [Complete Plays with Prefaces: Volume I](https://openlibrary.org/works/OL15835450W) - [Four Plays by Bernard Shaw][1] - [Plays](https://openlibrary.org/works/OL15241070W/The_Complete_Plays_of_Bernard_Shaw) - [Portable Bernard Shaw](https://openlibrary.org/works/OL1066402W/The_Portable_Bernard_Shaw) - [Pygmalion and Major Barbara][2] - [Pygmalion and My Fair Lady][3] - [Pygmalion and Related Readings][4] - [Pygmalion and Three Other Plays](https://openlibrary.org/works/OL15013904W) - [Pygmalion with Connections](https://openlibrary.org/works/OL1066164W/Pygmalion_with_Connections) - [Selected Plays](https://openlibrary.org/works/OL15241059W) - [Selected Plays with Prefaces](https://openlibrary.org/works/OL20644026W) - [Six Plays](https://openlibrary.org/works/OL17986328W) [1]: https://openlibrary.org/works/OL1066032W/Four_Plays_by_Bernard_Shaw [2]: https://openlibrary.org/works/OL1066354W/Pygmalion_Major_Barbara [3]: https://openlibrary.org/works/OL15013928W/Pygmalion_My_Fair_Lady [4]: https://openlibrary.org/works/OL8049503W/Pygmalion_and_Related_Readings",0486282228
The Rainbow Fish,The most beautiful fish in the entire ocean discovers the real value of personal beauty and friendship.,1558580093
"Blood Meridian, or the Evening Redness in the West",,0679728759
Sideways Stories from Wayside School (Wayside School #1),,0747571775
Modern Romance,"From NYU Wagner: At some point, every one of us embarks on a journey to find love. We meet people, date, get into and out of relationships, all with the hope of finding someone with whom we share a deep connection. This seems standard now, but it’s wildly different from what people did even just decades ago. Single people today have more romantic options than at any point in human history. With technology, our abilities to connect with and sort through these options are staggering. So why are so many people frustrated?",1594206279
